Date,Time,Light,SD,Rep,NewRep,Totalgrowth_percent,Presence
44629,t4,Ambient,1,R1,1,141.8604651,0.45
44629,t4,Ambient,1,R2,2,97.5625,0.4375
44629,t4,Ambient,1,R3,3,85.77629382,0.263157895
44629,t4,Ambient,2,R1,4,142.6887519,0.4
44629,t4,Ambient,2,R2,5,185.6588355,0.4
44629,t4,Ambient,2,R3,6,183.6065574,0.45
44629,t4,Ambient,3,R1,7,142.3346878,0.5
44629,t4,Ambient,3,R2,8,163.3333333,0.25
44629,t4,Ambient,3,R3,9,128.9925926,0.5
44629,t4,Low,1,R1,10,80.11656953,0.529411765
44629,t4,Low,1,R2,11,102.5020851,0.5
44629,t4,Low,1,R3,12,114.6669408,0.222222222
44629,t4,Low,2,R1,13,124.1884281,0.6
44629,t4,Low,2,R2,14,80.12944162,0.3
44629,t4,Low,2,R3,15,116.4790174,0.55
44629,t4,Low,3,R1,16,91.9058131,0.5
44629,t4,Low,3,R2,17,101.4296296,0.3
44629,t4,Low,3,R3,18,84.46122297,0.4
44629,t4,High,1,R1,19,111.3861386,0.4
44629,t4,High,1,R2,20,94.75041597,0.4375
44629,t4,High,1,R3,21,103.5091362,0.529411765
44629,t4,High,2,R1,22,140.2358974,0.55
44629,t4,High,2,R2,23,135.3646099,0.5
44629,t4,High,2,R3,24,107.6903292,0.55
44629,t4,High,3,R1,25,101.315109,0.55
44629,t4,High,3,R2,26,87.22633136,0.65
44629,t4,High,3,R3,27,108.8564027,0.6
