Light,SD ,Rep,NewRep,Totalgrowth_percent
Low,4,R1,1,28.0535855
Low,4,R2,2,43.70689655
Low,4,R3,3,35.63873068
Low,5,R1,4,39.06810036
Low,5,R2,5,38.32911392
Low,5,R3,6,39.18849512
Low,6,R1,7,30.78899083
Low,6,R2,8,32.22345542
Low,6,R3,9,31.7233809
High,4,R1,10,49.2484527
High,4,R2,11,41.53976311
High,4,R3,12,40.97478992
High,5,R1,13,40.82073434
High,5,R2,14,31.26272912
High,5,R3,15,37.52004276
High,6,R1,16,35.2014652
High,6,R2,17,33.80022116
High,6,R3,18,35.71964018
